City,Region,Country,Latitude,Longitude,TimeZone,LocalTimeEpoch,LocalTime,LastUpdatedEpoch,LastUpdated,Temperature_C,Temperature_F,IsDay,ConditionText,ConditionIcon,WindMPH,WindKPH,WindDegree,WindDir,PressureMB,PressureIn,PrecipMM,PrecipIn,Humidity,Cloud,FeelsLike_C,FeelsLike_F,VisibilityKM,VisibilityMiles,UV,GustMPH,GustKPH
Ahus,Skane Lan,Sweden,55.92,14.28,Europe/Stockholm,1699697266,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,130,SE,1001.0,29.56,0.01,0.0,100,100,6.9,44.5,10.0,6.0,2.0,3.1,5.0
Akersberga,Stockholms Lan,Sweden,59.48,18.3,Europe/Stockholm,1699697223,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,160,SSE,1002.0,29.59,0.0,0.0,93,25,5.3,41.6,10.0,6.0,3.0,7.6,12.2
Alingsas,Vastra Gotaland,Sweden,57.93,12.52,Europe/Stockholm,1699697266,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,38,NE,1000.0,29.53,0.01,0.0,100,75,3.9,39.1,10.0,6.0,2.0,4.4,7.0
Almhult,Kalmar Lan,Sweden,57.08,16.45,Europe/Stockholm,1699697224,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,10,N,1002.0,29.59,0.0,0.0,93,25,7.9,46.2,10.0,6.0,2.0,3.6,5.7
Altay,Xinjiang,China,47.87,88.12,Asia/Shanghai,1699697267,2023-11-11 18:07,1699696800,2023-11-11 18:00,-0.7,30.8,1,Light snow,//cdn.weatherapi.com/weather/64x64/day/326.png,2.5,4.0,151,SSE,1038.0,30.65,0.04,0.0,88,87,-1.8,28.8,10.0,6.0,1.0,2.8,4.6
Amalner,Maharashtra,India,21.05,75.07,Asia/Kolkata,1699697267,2023-11-11 15:37,1699696800,2023-11-11 15:30,32.9,91.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,2.7,4.3,219,SW,1012.0,29.9,0.0,0.0,29,8,32.1,89.9,10.0,6.0,8.0,3.5,5.7
Arboga,Vastmanlands Lan,Sweden,59.4,15.83,Europe/Stockholm,1699697267,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,2.5,4.0,60,ENE,1001.0,29.56,0.07,0.0,93,100,5.5,41.9,2.0,1.0,2.0,3.8,6.1
Arlov,Skane Lan,Sweden,55.63,13.07,Europe/Stockholm,1699697266,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,130,SE,1000.0,29.53,0.26,0.01,93,75,6.0,42.7,10.0,6.0,2.0,9.9,16.0
Arvika,Varmlands Lan,Sweden,59.67,12.57,Europe/Stockholm,1699697224,2023-11-11 11:07,1699696800,2023-11-11 11:00,3.0,37.4,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.6,9.0,340,NNW,1001.0,29.56,0.13,0.01,100,100,-0.1,31.9,0.9,0.0,1.0,10.6,17.1
Astorp,Syddanmark,Denmark,55.4,9.52,Europe/Copenhagen,1699697267,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,10,N,999.0,29.5,0.0,0.0,93,75,6.6,43.9,6.0,3.0,2.0,3.6,5.9
Avesta,Dalarnas Lan,Sweden,60.15,16.2,Europe/Stockholm,1699697224,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.3,6.8,30,NNE,1002.0,29.59,0.01,0.0,93,60,2.9,37.3,3.7,2.0,2.0,4.4,7.0
Balsta,Uppsala Lan,Sweden,59.58,17.5,Europe/Stockholm,1699697267,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,90,E,1002.0,29.59,0.0,0.0,93,75,4.5,40.1,10.0,6.0,2.0,6.4,10.3
Billdal,Vastra Gotaland,Sweden,57.57,11.93,Europe/Stockholm,1699697267,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,3.8,6.1,20,NNE,1000.0,29.53,0.09,0.0,100,100,3.4,38.0,0.9,0.0,2.0,6.2,10.0
Bjarred,Skane Lan,Sweden,55.72,13.02,Europe/Stockholm,1699697267,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,130,SE,1000.0,29.53,0.24,0.01,93,75,6.0,42.9,10.0,6.0,2.0,9.6,15.5
Boden,Norrbottens Lan,Sweden,65.83,21.7,Europe/Stockholm,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,-10.0,14.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,8.1,13.0,350,N,1015.0,29.97,0.0,0.0,92,0,-16.9,1.6,10.0,6.0,2.0,15.5,24.9
Bollnas,Gavleborgs Lan,Sweden,61.35,16.37,Europe/Stockholm,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,3.7,38.7,1,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,5.8,9.4,15,NNE,1004.0,29.64,0.15,0.01,98,100,1.3,34.3,0.0,0.0,1.0,7.4,12.0
Bodø Airport,Bodø,Norway,67.27,14.37,Europe/Oslo,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,-2.0,28.4,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,18.6,29.9,80,E,1015.0,29.97,0.0,0.0,69,0,-8.1,17.4,10.0,6.0,2.0,22.2,35.7
Boras,Vastra Gotaland,Sweden,57.72,12.92,Europe/Stockholm,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,159,SSE,1000.0,29.53,0.01,0.0,100,75,4.7,40.5,10.0,6.0,2.0,2.1,3.3
Borlange,Dalarnas Lan,Sweden,60.48,15.42,Europe/Stockholm,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.3,6.8,30,NNE,1002.0,29.59,0.21,0.01,93,60,2.3,36.1,3.7,2.0,1.0,6.3,10.1
Brevik,Akershus,Norway,59.75,10.71,Europe/Oslo,1699697268,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,11.9,19.1,30,NNE,1002.0,29.59,0.36,0.01,70,100,4.6,40.4,2.0,1.0,1.0,9.4,15.0
Bunkeflostrand,Skane Lan,Sweden,55.53,12.95,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,9.0,48.2,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,10.5,16.9,150,SSE,1000.0,29.53,0.27,0.01,81,50,6.9,44.4,10.0,6.0,2.0,11.9,19.1
Ekero,Stockholms Lan,Sweden,59.27,17.73,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,160,SSE,1002.0,29.59,0.0,0.0,93,25,5.3,41.6,10.0,6.0,3.0,7.8,12.5
Eksjo,Jonkopings Lan,Sweden,57.67,14.95,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,180,S,1000.0,29.53,0.0,0.0,100,100,4.1,39.3,10.0,6.0,3.0,4.0,6.4
Enkoping,Uppsala Lan,Sweden,59.63,17.07,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,133,SE,1002.0,29.59,0.03,0.0,93,100,4.8,40.7,10.0,6.0,2.0,5.5,8.9
Eskilstuna,Sodermanlands Lan,Sweden,59.37,16.5,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,136,SE,1002.0,29.59,0.02,0.0,93,100,5.3,41.6,10.0,6.0,2.0,4.2,6.8
Eslov,Skane Lan,Sweden,55.83,13.33,Europe/Stockholm,1699697226,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,110,ESE,1000.0,29.53,0.12,0.0,100,75,5.3,41.6,10.0,6.0,2.0,7.3,11.7
Fagersta,Vastmanlands Lan,Sweden,60.0,15.78,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.3,6.8,30,NNE,1002.0,29.59,0.04,0.0,93,60,2.9,37.3,3.7,2.0,1.0,4.1,6.6
Falkenberg,Hallands Lan,Sweden,56.9,12.5,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,120,ESE,1000.0,29.53,0.0,0.0,87,50,5.1,41.2,10.0,6.0,2.0,8.5,13.6
Falkoping,Vastra Gotaland,Sweden,58.17,13.55,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,180,S,1000.0,29.53,0.02,0.0,100,100,4.7,40.5,10.0,6.0,2.0,2.3,3.7
Falun,Dalarnas Lan,Sweden,60.6,15.63,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.3,6.8,30,NNE,1002.0,29.59,0.16,0.01,93,60,2.1,35.7,3.7,2.0,1.0,7.0,11.2
Filipstad,Varmlands Lan,Sweden,59.72,14.17,Europe/Stockholm,1699697270,2023-11-11 11:07,1699696800,2023-11-11 11:00,3.0,37.4,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.6,9.0,340,NNW,1001.0,29.56,0.12,0.0,100,100,1.5,34.7,0.9,0.0,1.0,5.0,8.0
Finspang,Ostergotlands Lan,Sweden,58.72,15.78,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,150,SSE,1002.0,29.59,0.01,0.0,93,100,5.0,40.9,10.0,6.0,2.0,4.9,7.9
Gagnef,Dalarnas Lan,Sweden,60.58,15.07,Europe/Stockholm,1699697269,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,4.3,6.8,30,NNE,1002.0,29.59,0.1,0.0,93,60,1.8,35.2,3.7,2.0,1.0,6.8,10.9
Gavle,Gavleborgs Lan,Sweden,60.67,17.17,Europe/Stockholm,1699697270,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.1,42.9,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,114,ESE,1003.0,29.62,0.0,0.0,88,99,4.9,40.9,10.0,6.0,2.0,5.5,8.9
Gislaved,Jonkopings Lan,Sweden,57.3,13.53,Europe/Stockholm,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,160,SSE,1001.0,29.56,0.0,0.0,100,100,4.7,40.5,10.0,6.0,2.0,2.0,3.2
Gothenburg,Vastra Gotaland,Sweden,57.72,11.97,Europe/Stockholm,1699697227,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,3.8,6.1,20,NNE,1000.0,29.53,0.02,0.0,100,100,3.1,37.5,0.9,0.0,2.0,6.8,11.0
Gustavsberg,Norrbottens Lan,Sweden,66.77,22.7,Europe/Stockholm,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,-9.9,14.1,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,5.4,8.6,355,N,1019.0,30.08,0.0,0.0,95,20,-14.7,5.6,2.0,1.0,1.0,11.3,18.1
Haboudange,Lorraine,France,48.88,6.62,Europe/Paris,1699697270,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,15.0,24.1,240,WSW,1008.0,29.77,0.09,0.0,87,75,2.6,36.7,10.0,6.0,2.0,15.6,25.2
Hagfors,Varmlands Lan,Sweden,60.03,13.65,Europe/Stockholm,1699697270,2023-11-11 11:07,1699696800,2023-11-11 11:00,1.2,34.2,1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,6.9,11.2,25,NNE,1003.0,29.62,0.11,0.0,96,100,-2.1,28.2,2.0,1.0,1.0,10.3,16.6
Hallstahammar,Vastmanlands Lan,Sweden,59.62,16.22,Europe/Stockholm,1699697227,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,85,E,1002.0,29.59,0.02,0.0,93,100,5.1,41.1,10.0,6.0,2.0,4.8,7.8
Halmstad,Hallands Lan,Sweden,56.67,12.86,Europe/Stockholm,1699697270,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,120,ESE,1000.0,29.53,0.0,0.0,87,50,5.2,41.3,10.0,6.0,2.0,7.8,12.5
Harnosand,Vasternorrlands Lan,Sweden,62.64,17.94,Europe/Stockholm,1699697270,2023-11-11 11:07,1699696800,2023-11-11 11:00,1.0,33.8,1,Light snow,//cdn.weatherapi.com/weather/64x64/day/326.png,9.4,15.1,20,NNE,1007.0,29.74,1.44,0.06,93,60,-6.4,20.4,6.0,3.0,1.0,35.6,57.3
Hassleholm,Skane Lan,Sweden,56.15,13.77,Europe/Stockholm,1699697270,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,130,SE,1001.0,29.56,0.0,0.0,100,100,6.8,44.2,10.0,6.0,3.0,3.2,5.2
Helsingborg,Skane Lan,Sweden,56.05,12.7,Europe/Copenhagen,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.9,11.2,110,ESE,1000.0,29.53,0.13,0.01,93,75,4.1,39.4,10.0,6.0,2.0,13.7,22.0
Hoganas,Skane Lan,Sweden,56.2,12.55,Europe/Stockholm,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,6.9,11.2,110,ESE,1000.0,29.53,0.08,0.0,93,75,3.8,38.8,10.0,6.0,2.0,16.0,25.7
Hollviken,Skane Lan,Sweden,55.42,12.95,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,9.0,48.2,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,10.5,16.9,150,SSE,1000.0,29.53,0.16,0.01,81,50,6.3,43.4,10.0,6.0,2.0,15.9,25.6
Hudiksvall,Gavleborgs Lan,Sweden,61.73,17.11,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.1,41.2,1,Light rain shower,//cdn.weatherapi.com/weather/64x64/day/353.png,10.3,16.6,37,NE,1004.0,29.65,0.26,0.01,97,100,1.7,35.0,10.0,6.0,2.0,14.9,23.9
Huskvarna,Jonkopings Lan,Sweden,57.8,14.27,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,180,S,1000.0,29.53,0.06,0.0,100,100,4.4,39.8,10.0,6.0,2.0,3.5,5.6
Jonkoping,Jonkopings Lan,Sweden,57.78,14.18,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,180,S,1000.0,29.53,0.06,0.0,100,100,4.4,39.8,10.0,6.0,2.0,3.5,5.6
Jordbro,Stockholms Lan,Sweden,59.15,18.12,Europe/Stockholm,1699697228,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,160,SSE,1002.0,29.59,0.0,0.0,93,25,5.6,42.1,10.0,6.0,3.0,6.6,10.7
Kalmar,Kalmar Lan,Sweden,56.67,16.37,Europe/Stockholm,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,10,N,1002.0,29.59,0.0,0.0,93,25,8.0,46.5,10.0,6.0,2.0,1.6,2.6
Karlshamn,Blekinge Lan,Sweden,56.17,14.85,Europe/Stockholm,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,100,E,1001.0,29.56,0.06,0.0,93,25,7.4,45.2,10.0,6.0,2.0,4.5,7.3
Karlskoga,Orebro Lan,Sweden,59.33,14.52,Europe/Stockholm,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,2.5,4.0,60,ENE,1001.0,29.56,0.05,0.0,93,100,5.6,42.2,2.0,1.0,2.0,3.2,5.1
Karlskrona,Blekinge Lan,Sweden,56.17,15.58,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,8.0,46.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.3,6.8,100,E,1001.0,29.56,0.03,0.0,93,25,7.2,45.0,10.0,6.0,2.0,5.3,8.5
Karlstad,Varmlands Lan,Sweden,59.37,13.5,Europe/Stockholm,1699697271,2023-11-11 11:07,1699696800,2023-11-11 11:00,3.0,37.4,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.6,9.0,340,NNW,1001.0,29.56,0.1,0.0,100,100,0.4,32.8,0.9,0.0,2.0,8.3,13.3
Katrineholm,Sodermanlands Lan,Sweden,59.0,16.2,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,150,SSE,1002.0,29.59,0.03,0.0,93,100,4.7,40.5,10.0,6.0,2.0,5.7,9.2
Kavlinge,Skane Lan,Sweden,55.8,13.1,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,110,ESE,1000.0,29.53,0.18,0.01,100,75,5.0,40.9,10.0,6.0,2.0,8.8,14.1
Kinna,Vastra Gotaland,Sweden,57.5,12.68,Europe/Stockholm,1699697273,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,159,SSE,1000.0,29.53,0.0,0.0,100,75,4.7,40.5,10.0,6.0,2.0,3.0,4.8
Kiruna,Norrbottens Lan,Sweden,67.85,20.22,Europe/Stockholm,1699697229,2023-11-11 11:07,1699696800,2023-11-11 11:00,-7.0,19.4,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,327,NNW,1015.0,29.97,0.0,0.0,93,100,-11.5,11.4,10.0,6.0,2.0,12.2,19.7
Klippansbruk,Skane Lan,Sweden,56.12,13.15,Europe/Stockholm,1699697273,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,110,ESE,1000.0,29.53,0.0,0.0,100,75,5.3,41.6,10.0,6.0,2.0,7.1,11.5
Koping,Vastmanlands Lan,Sweden,59.52,16.0,Europe/Stockholm,1699697229,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,118,ESE,1002.0,29.59,0.04,0.0,93,100,5.2,41.4,10.0,6.0,2.0,4.5,7.3
Kristianstad,Skane Lan,Sweden,56.03,14.13,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,3.8,6.1,130,SE,1001.0,29.56,0.0,0.0,100,100,6.6,43.9,10.0,6.0,3.0,3.8,6.1
Kristinehamn,Varmlands Lan,Sweden,59.33,14.12,Europe/Stockholm,1699697274,2023-11-11 11:07,1699696800,2023-11-11 11:00,3.0,37.4,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,5.6,9.0,340,NNW,1001.0,29.56,0.08,0.0,100,100,1.4,34.5,0.9,0.0,2.0,5.2,8.4
Kumla,Orebro Lan,Sweden,59.13,15.13,Europe/Stockholm,1699697272,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,2.5,4.0,60,ENE,1001.0,29.56,0.01,0.0,93,100,5.8,42.5,2.0,1.0,2.0,1.5,2.4
Kungalv,Vastra Gotaland,Sweden,57.87,11.97,Europe/Stockholm,1699697273,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Fog,//cdn.weatherapi.com/weather/64x64/day/248.png,3.8,6.1,20,NNE,1000.0,29.53,0.0,0.0,100,100,2.6,36.8,0.9,0.0,2.0,8.7,14.0
Kungsangen,Vastmanlands Lan,Sweden,59.48,16.0,Europe/Stockholm,1699697230,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,2.2,3.6,118,ESE,1002.0,29.59,0.04,0.0,93,100,5.2,41.4,10.0,6.0,2.0,4.5,7.3
Kungsbacka,Hallands Lan,Sweden,57.48,12.07,Europe/Stockholm,1699697273,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,109,ESE,1000.0,29.53,0.09,0.0,100,75,3.4,38.0,10.0,6.0,2.0,6.2,10.0
Landskrona,Skane Lan,Sweden,55.87,12.83,Europe/Stockholm,1699697273,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,110,ESE,1000.0,29.53,0.14,0.01,100,75,4.4,39.9,10.0,6.0,2.0,11.8,19.0
Lerum,Vastra Gotaland,Sweden,57.77,12.27,Europe/Stockholm,1699697273,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,58,ENE,1000.0,29.53,0.01,0.0,100,75,3.6,38.4,10.0,6.0,2.0,5.4,8.6
Lidingo,Stockholms Lan,Sweden,59.37,18.13,Europe/Stockholm,1699697274,2023-11-11 11:07,1699696800,2023-11-11 11:00,7.0,44.6,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,5.6,9.0,160,SSE,1002.0,29.59,0.0,0.0,93,25,5.6,42.1,10.0,6.0,3.0,6.8,10.9
Lidkoping,Vastra Gotaland,Sweden,58.5,13.17,Europe/Stockholm,1699697231,2023-11-11 11:07,1699696800,2023-11-11 11:00,4.0,39.2,1,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,8.1,13.0,10,N,1001.0,29.56,0.0,0.0,100,100,2.9,37.3,10.0,6.0,2.0,4.6,7.3
Lindesberg,Sodermanlands Lan,Sweden,59.08,17.18,Europe/Stockholm,1699697273,2023-11-11 11:07,1699696800,2023-11-11 11:00,6.0,42.8,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,8.1,13.0,150,SSE,1002.0,29.59,0.0,0.0,93,75,4.6,40.3,10.0,6.0,2.0,6.6,10.7
Lindome,Hallands Lan,Sweden,57.57,12.08,Europe/Stockholm,1699697275,2023-11-11 11:07,1699696800,2023-11-11 11:00,5.0,41.0,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,2.2,3.6,109,ESE,1000.0,29.53,0.09,0.0,100,75,3.4,38.0,10.0,6.0,2.0,6.2,10.0
